ChildReport
=========================================

/work/fsh-generated/resources/StructureDefinition-BeModelChildReport.json: line 0, col 0, Info - Pinned the version of https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-patient to 2.2.0 from choices of 2.1.2 (hl7.fhir.be.core#2.1.2), 2.2.0 (hl7.fhir.be.core#2.2.0) (PROCESSING)
/work/fsh-generated/resources/StructureDefinition-BeModelChildReport.json: line 0, col 0, Info - Pinned the version of https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-patient to 2.2.0 from choices of 2.1.2 (hl7.fhir.be.core#2.1.2), 2.2.0 (hl7.fhir.be.core#2.2.0) (PROCESSING)
/work/fsh-generated/resources/StructureDefinition-BeModelChildReport.json: line 0, col 0, Info - Pinned the version of https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-patient to 2.2.0 from choices of 2.1.2 (hl7.fhir.be.core#2.1.2), 2.2.0 (hl7.fhir.be.core#2.2.0) (PROCESSING)
/work/fsh-generated/resources/StructureDefinition-BeModelChildReport.json: line 0, col 0, Info - Pinned the version of https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-patient to 2.2.0 from choices of 2.1.2 (hl7.fhir.be.core#2.1.2), 2.2.0 (hl7.fhir.be.core#2.2.0) (PROCESSING)
/work/fsh-generated/resources/StructureDefinition-BeModelChildReport.json: line 0, col 0, Info - Pinned the version of https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-patient to 2.2.0 from choices of 2.1.2 (hl7.fhir.be.core#2.1.2), 2.2.0 (hl7.fhir.be.core#2.2.0) (PROCESSING)
/work/fsh-generated/resources/StructureDefinition-BeModelChildReport.json: line 0, col 0, Info - Pinned the version of https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-patient to 2.2.0 from choices of 2.1.2 (hl7.fhir.be.core#2.1.2), 2.2.0 (hl7.fhir.be.core#2.2.0) (PROCESSING)
/work/fsh-generated/resources/StructureDefinition-BeModelChildReport.json: line 0, col 0, Info - Pinned the version of https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-patient to 2.2.0 from choices of 2.1.2 (hl7.fhir.be.core#2.1.2), 2.2.0 (hl7.fhir.be.core#2.2.0) (PROCESSING)
/work/fsh-generated/resources/StructureDefinition-BeModelChildReport.json: line 0, col 0, Info - Pinned the version of https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-patient to 2.2.0 from choices of 2.1.2 (hl7.fhir.be.core#2.1.2), 2.2.0 (hl7.fhir.be.core#2.2.0) (PROCESSING)
/work/fsh-generated/resources/StructureDefinition-BeModelChildReport.json: line 0, col 0, Info - The resource StructureDefinition/BeModelChildReport could usefully have an OID assigned (OIDs are easy to assign - see https://build.fhir.org/ig/FHIR/fhir-tools-ig/CodeSystem-ig-parameters.html#ig-parameters-auto-oid-root) (BUSINESSRULE)
/work/fsh-generated/resources/StructureDefinition-be-childreport.json: line 0, col 0, Info - Pinned the version of https://www.ehealth.fgov.be/standards/fhir/core/StructureDefinition/be-patient to 2.2.0 from choices of 2.1.2 (hl7.fhir.be.core#2.1.2), 2.2.0 (hl7.fhir.be.core#2.2.0) (PROCESSING)
